Student_ID,Attendance,Study_Hours,Assignment_Score,Internal_Marks,Previous_Semester_Score,Participation,Backlogs,Final_Score,Performance
45,88,7.6,63,95,60,2,1,91.65,Excellent
46,67,5.8,81,70,41,5,3,71.9,Good
47,53,7.4,69,74,100,7,4,88.6,Excellent
48,74,7.9,53,64,97,8,1,99.75,Excellent
49,63,1.8,45,43,82,0,0,50.2,Average
50,99,5.6,42,98,98,2,2,85.35,Excellent
51,58,9.4,55,67,99,2,2,94.15,Excellent
52,75,3.9,46,86,77,10,2,79.25,Good
53,51,6.3,91,48,97,7,4,80.3,Good
54,69,4.3,53,87,79,0,1,70.0,Average
55,77,5.1,48,93,75,4,4,71.85,Good
56,96,5.9,54,75,89,2,3,78.8,Good
57,56,5.9,60,42,99,1,0,76.6,Good
58,93,2.8,74,36,82,7,0,73.15,Good
59,57,7.2,41,75,76,2,2,77.9,Good
60,96,1.8,66,89,54,6,2,64.9,Average
61,84,2.2,41,50,67,10,2,62.15,Average
62,63,1.0,74,96,57,0,1,53.15,Average
63,66,2.1,57,82,73,5,3,58.45,Average
64,85,5.3,53,64,61,2,3,66.2,Average
65,99,6.5,59,46,50,7,3,76.9,Good
66,89,8.1,57,69,97,5,3,94.1,Excellent
67,53,2.0,49,45,96,1,2,49.0,Needs Improvement
68,51,8.7,64,98,52,5,0,98.25,Excellent
69,55,7.7,41,84,43,6,2,81.3,Good
70,91,4.7,64,55,61,4,3,66.95,Average
71,53,9.4,100,82,46,2,2,92.55,Excellent
72,78,9.9,93,54,100,3,3,100.0,Excellent
73,67,2.8,72,78,82,3,4,59.35,Average
74,75,4.4,75,67,93,5,0,84.0,Good
75,93,9.3,70,95,63,9,4,100.0,Excellent
76,83,7.5,53,43,43,0,1,72.1,Good
77,59,1.4,40,69,67,10,2,58.05,Average
78,85,8.0,85,99,54,3,1,97.6,Excellent
79,63,8.5,55,42,40,9,2,84.1,Good
80,80,7.8,93,79,94,3,4,92.05,Excellent
81,97,8.2,85,81,42,9,3,97.4,Excellent
82,64,8.4,100,74,53,0,3,83.0,Good
83,57,2.7,91,88,77,8,2,74.7,Good
84,63,3.1,42,80,89,3,3,60.55,Average
85,72,6.7,74,81,96,6,4,87.8,Excellent
86,89,9.2,80,49,40,2,3,83.15,Good
87,70,3.8,45,53,77,9,4,63.75,Average
88,65,6.3,64,60,77,2,1,78.25,Good
89,94,7.1,52,86,60,7,4,85.1,Excellent
90,67,5.1,92,56,87,7,0,88.45,Excellent
91,96,7.4,73,55,68,10,0,100.0,Excellent
92,73,9.1,47,85,44,0,0,89.3,Excellent
93,75,6.6,60,72,88,9,2,92.75,Excellent
94,74,5.9,73,54,49,1,2,67.65,Average
95,94,4.9,43,63,67,7,2,75.55,Good
96,90,6.2,64,85,60,0,4,71.1,Good
97,78,4.2,54,38,89,7,2,70.7,Good
98,64,4.5,43,89,46,7,1,73.05,Good
99,94,5.8,84,62,42,1,0,78.0,Good
100,50,1.6,99,38,84,3,4,47.25,Needs Improvement
101,74,3.1,51,56,86,5,0,70.15,Good
102,56,5.9,71,79,59,10,2,85.15,Excellent
103,58,4.9,71,100,58,8,4,75.45,Good
104,73,4.0,67,68,74,7,3,70.9,Good
105,50,7.6,52,89,43,7,1,87.2,Excellent
106,93,7.2,70,35,44,6,2,79.25,Good
107,57,2.5,53,72,40,8,2,57.4,Average
108,73,8.9,59,40,43,1,1,79.4,Good
109,60,5.5,57,59,51,2,1,67.05,Average
110,100,7.7,68,51,99,9,3,98.2,Excellent
111,66,6.2,99,95,66,7,2,92.45,Excellent
112,57,10.0,45,46,95,5,2,95.0,Excellent
113,84,7.8,71,40,81,9,0,99.95,Excellent
114,84,7.4,68,61,62,8,4,84.4,Good
115,82,8.0,82,42,64,9,4,87.3,Excellent
116,54,2.3,41,99,60,3,0,62.05,Average
117,91,2.8,99,91,100,7,4,79.2,Good
118,88,7.4,62,74,97,9,1,100.0,Excellent
119,90,5.4,58,48,91,2,4,68.0,Average
120,77,7.8,70,69,63,2,4,78.45,Good
121,56,1.9,90,82,64,7,0,71.1,Good
122,58,5.8,44,90,84,4,3,76.1,Good
123,57,4.4,58,83,94,2,4,65.65,Average
124,61,5.1,73,47,85,9,4,73.5,Good
125,83,6.4,49,95,71,10,3,91.0,Excellent
126,82,5.5,64,83,94,0,0,84.8,Good
127,97,5.9,41,80,71,2,3,74.4,Good
128,72,5.4,50,96,44,8,0,85.3,Excellent
129,73,4.7,89,42,75,4,1,74.2,Good
130,86,7.9,100,77,85,9,0,100.0,Excellent
131,84,1.1,70,54,81,1,1,54.1,Average
132,93,6.4,95,73,88,6,1,98.4,Excellent
133,89,6.1,54,83,81,1,0,86.25,Excellent
134,71,7.4,48,98,97,3,2,92.35,Excellent
135,76,6.4,62,96,78,6,0,96.5,Excellent
136,84,8.4,58,88,55,3,4,84.4,Good
137,50,9.6,48,43,72,6,4,82.7,Good
138,84,4.1,74,71,88,6,2,79.0,Good
139,86,3.0,60,83,60,0,1,62.5,Average
140,96,4.8,48,75,100,5,2,82.1,Good
141,63,3.6,67,51,48,8,4,57.3,Average
142,52,6.5,85,55,45,1,2,68.55,Average
143,50,9.2,90,85,90,2,0,100.0,Excellent
144,54,2.3,46,93,84,9,2,69.4,Average
145,75,1.9,55,73,74,4,1,61.4,Average
146,63,3.3,55,89,78,8,0,79.6,Good
147,88,7.5,99,75,61,3,3,88.25,Excellent
148,76,6.3,72,73,80,0,4,72.3,Good
149,58,1.9,43,47,93,3,4,45.15,Needs Improvement
150,64,9.3,43,98,44,5,2,92.45,Excellent
151,64,8.1,78,45,81,4,0,93.0,Excellent
152,75,1.2,79,53,62,0,3,43.1,Needs Improvement
153,91,6.9,56,45,56,3,0,81.25,Good
154,62,7.9,76,80,51,5,4,81.9,Good
155,100,4.4,78,79,62,9,0,90.4,Excellent
156,81,1.6,99,35,55,9,3,57.5,Average
157,88,1.7,91,74,42,3,2,57.05,Average
158,98,1.9,68,53,69,8,1,67.8,Average
159,81,8.6,91,95,96,4,0,100.0,Excellent
160,53,9.2,75,46,61,7,1,94.1,Excellent
161,79,2.1,99,95,48,8,4,65.8,Average
162,86,3.1,77,67,68,9,2,74.45,Good
163,72,2.5,78,79,86,4,2,68.0,Average
164,88,2.7,89,42,76,5,0,71.15,Good
165,94,8.5,76,59,62,0,2,86.2,Excellent
166,64,4.0,91,80,52,10,0,84.65,Good
167,92,3.8,100,64,71,6,0,83.8,Good
168,78,3.0,74,81,85,3,1,72.5,Good
169,85,6.5,46,83,91,10,2,95.95,Excellent
170,62,4.4,66,81,86,1,0,76.1,Good
171,81,7.7,67,52,87,4,1,91.5,Excellent
172,56,2.9,61,100,62,2,3,58.45,Average
173,100,8.1,53,67,84,5,1,98.15,Excellent
174,71,6.4,46,70,56,7,1,82.25,Good
175,77,2.0,76,53,94,6,0,71.35,Good
176,51,4.7,100,62,79,2,4,65.35,Average
177,91,8.8,61,74,60,7,4,92.1,Excellent
178,94,9.3,44,49,41,1,4,74.7,Good
179,55,5.2,94,75,76,9,1,89.05,Excellent
180,77,5.3,41,73,45,8,0,79.8,Good
181,77,9.3,66,36,83,3,2,90.25,Excellent
182,93,6.3,60,97,57,0,1,82.25,Good
183,93,1.3,93,63,69,7,1,68.3,Average
184,69,9.2,77,100,61,6,0,100.0,Excellent
185,79,3.2,54,85,93,10,3,77.55,Good
186,60,6.2,60,44,72,4,1,75.2,Good
187,77,2.5,49,48,69,9,3,59.3,Average
188,74,1.3,62,85,56,4,3,52.1,Average
189,88,3.8,97,73,82,6,4,74.75,Good
190,82,8.0,95,62,71,4,0,99.15,Excellent
191,50,3.5,78,37,81,7,3,61.8,Average
192,76,3.0,44,61,90,10,0,78.2,Good
193,62,2.9,40,36,53,5,4,43.1,Needs Improvement
194,90,5.6,52,72,97,4,0,89.1,Excellent
195,52,9.8,60,37,49,8,1,92.0,Excellent
196,88,5.1,65,50,86,10,3,81.65,Good
197,55,6.0,89,74,99,1,0,87.7,Excellent
198,57,8.7,84,36,90,0,2,83.85,Good
199,76,5.8,60,75,75,7,0,89.9,Excellent
200,58,2.7,92,46,73,2,3,53.8,Average
201,86,3.7,57,69,48,10,4,66.35,Average
202,82,3.8,76,99,81,6,4,75.7,Good
203,100,4.6,84,89,67,9,3,86.3,Excellent
204,91,4.8,71,79,50,10,1,86.1,Excellent
205,93,8.2,75,96,53,7,1,100.0,Excellent
206,73,4.1,56,83,78,5,4,67.55,Average
207,64,5.2,74,59,94,9,4,78.8,Good
208,81,6.6,88,57,86,8,3,89.95,Excellent
209,81,4.4,99,58,93,6,1,85.2,Excellent
210,73,8.5,50,72,58,9,4,88.45,Excellent
211,90,6.3,60,62,93,4,1,88.0,Excellent
212,98,3.6,91,55,54,7,4,66.65,Average
213,98,7.4,94,88,67,1,0,98.3,Excellent
214,61,5.7,92,52,63,6,2,77.45,Good
215,88,5.8,65,70,47,3,0,79.85,Good
216,51,5.3,43,79,82,8,4,72.8,Good
217,52,5.5,73,87,100,0,2,77.65,Good
218,98,7.9,91,64,48,6,2,93.25,Excellent
219,86,1.9,87,94,86,5,4,66.95,Average
220,98,4.0,99,66,72,7,4,75.65,Good
221,66,1.7,57,62,72,4,1,56.75,Average
222,98,7.8,79,78,58,0,4,80.75,Good
223,51,3.5,74,75,42,0,3,50.65,Average
224,51,9.1,80,97,49,8,4,94.35,Excellent
225,77,5.7,68,57,79,9,3,81.95,Good
226,72,8.2,91,82,86,5,4,94.55,Excellent
227,86,9.8,68,66,81,9,1,100.0,Excellent
228,81,8.6,77,91,40,4,3,89.9,Excellent
229,82,8.8,81,67,68,0,0,95.45,Excellent
230,50,4.7,60,58,89,5,3,67.9,Average
231,68,6.0,81,73,73,5,1,86.05,Excellent
232,51,3.3,52,68,90,2,3,57.55,Average
233,93,2.8,88,90,52,7,4,68.05,Average
234,75,5.5,80,62,93,0,4,69.75,Average
235,81,6.4,56,71,40,0,1,71.75,Good
236,55,4.1,95,41,73,5,2,67.3,Average
237,81,6.1,48,71,68,9,4,79.15,Good
238,53,9.0,80,90,87,0,0,100.0,Excellent
239,60,6.0,40,99,86,5,1,86.5,Excellent
240,66,7.5,41,99,52,0,3,74.75,Good
241,87,8.2,99,81,87,5,3,100.0,Excellent
242,73,9.9,87,54,88,2,0,100.0,Excellent
243,54,6.4,68,53,92,7,4,77.8,Good
244,83,8.3,72,63,100,5,1,100.0,Excellent
245,55,9.7,49,94,68,10,0,100.0,Excellent
246,71,9.5,89,52,78,0,4,85.5,Excellent
247,60,2.3,97,69,63,4,1,64.45,Average
248,97,4.7,99,77,65,7,3,82.8,Good
249,65,3.9,79,45,56,2,1,61.3,Average
250,82,1.8,60,83,46,5,2,57.6,Average
251,58,6.7,67,72,52,4,1,80.05,Good
252,55,7.6,50,98,44,5,2,83.65,Good
253,65,8.6,94,42,65,9,1,98.75,Excellent
254,78,2.1,73,68,88,0,2,58.35,Average
255,52,8.9,47,82,42,6,3,84.15,Good
256,69,6.8,98,90,46,8,4,86.25,Excellent
257,85,7.3,61,99,97,1,2,93.1,Excellent
258,68,9.2,47,65,88,9,2,100.0,Excellent
259,75,6.6,88,38,78,4,3,77.65,Good
260,52,4.0,54,84,92,9,2,78.6,Good
261,68,8.4,56,64,40,3,0,85.9,Excellent
262,69,4.3,99,93,88,5,3,81.4,Good
263,81,1.3,62,79,56,5,0,62.45,Average
264,56,8.5,63,38,82,10,3,90.35,Excellent
265,90,4.1,84,60,64,1,2,66.9,Average
266,82,8.0,58,61,98,1,0,94.3,Excellent
267,89,4.3,44,80,100,3,2,75.95,Good
268,88,8.7,71,98,42,0,3,86.35,Excellent
269,67,3.0,83,85,54,8,2,71.3,Good
270,89,9.8,40,84,68,6,0,100.0,Excellent
271,50,8.0,62,40,92,6,0,92.2,Excellent
272,60,2.0,76,93,82,2,2,62.4,Average
273,77,6.1,47,49,71,10,1,85.1,Excellent
274,74,9.9,52,64,65,2,3,88.2,Excellent
275,99,5.2,47,76,99,0,3,73.9,Good
276,72,2.6,96,71,55,2,2,60.4,Average
277,80,5.4,62,76,64,2,1,76.3,Good
278,79,5.6,82,69,93,3,0,89.05,Excellent
279,91,7.7,40,40,67,3,4,72.05,Good
280,84,7.3,84,52,48,2,4,72.7,Good
281,56,4.6,90,63,95,9,2,84.0,Good
282,65,3.0,63,93,95,7,1,79.3,Good
283,75,6.8,74,81,40,7,1,88.05,Excellent
284,97,4.8,63,51,68,0,3,62.8,Average
285,98,2.2,56,56,96,6,0,73.5,Good
286,51,9.1,44,71,61,10,1,98.15,Excellent
287,50,7.2,59,83,55,1,4,69.45,Average
288,97,7.1,60,47,80,0,0,84.45,Good
289,61,8.4,79,68,90,2,0,97.6,Excellent
290,54,5.8,97,87,83,3,2,84.15,Good
291,86,8.3,70,85,90,5,1,100.0,Excellent
292,81,5.5,85,37,93,9,2,85.9,Excellent
293,58,1.6,75,76,80,4,1,62.15,Average
294,90,4.6,50,66,46,3,3,61.9,Average
295,84,5.5,91,85,53,7,2,85.85,Excellent
296,68,7.5,54,80,68,10,2,94.4,Excellent
297,97,2.0,58,55,58,3,4,48.35,Needs Improvement
298,65,2.3,46,78,58,9,2,62.85,Average
299,52,3.4,90,45,41,1,1,54.0,Average
300,69,3.4,67,35,80,2,4,51.4,Average
301,73,7.6,90,97,84,5,2,100.0,Excellent
302,82,3.3,82,58,54,7,2,68.0,Average
303,73,6.7,97,47,42,7,3,78.3,Good
304,60,5.4,44,45,50,10,2,70.6,Good
305,98,6.2,44,85,92,8,0,99.7,Excellent
306,57,8.5,69,51,85,6,4,85.6,Excellent
307,85,4.6,93,58,69,1,0,76.6,Good
308,87,7.9,71,53,96,7,4,91.5,Excellent
309,89,4.8,47,71,79,6,3,74.4,Good
310,69,4.2,49,42,57,7,2,63.0,Average
311,84,9.6,77,62,90,2,2,99.55,Excellent
312,97,2.7,86,39,87,6,2,69.15,Average
313,74,1.8,71,51,41,9,4,50.65,Average
314,84,7.9,87,70,71,8,2,99.35,Excellent
315,74,1.6,67,53,47,2,0,52.15,Average
316,78,8.5,56,98,61,9,2,100.0,Excellent
317,67,4.9,70,45,45,5,3,61.55,Average
318,95,9.2,47,88,51,1,0,96.6,Excellent
319,67,7.5,79,79,86,1,2,87.9,Excellent
320,51,6.5,64,81,96,4,2,85.15,Excellent
321,84,9.5,48,46,79,4,1,95.3,Excellent
322,65,4.6,41,55,75,6,4,61.9,Average
323,90,9.6,54,45,54,1,0,90.9,Excellent
324,85,2.2,89,39,67,10,1,70.3,Good
325,82,5.4,42,90,91,6,3,81.8,Good
326,53,3.4,88,54,96,4,4,62.15,Average
327,82,5.9,75,75,88,5,0,93.15,Excellent
328,63,2.5,43,80,84,7,2,65.7,Average
329,70,8.6,53,46,57,9,0,95.55,Excellent
330,97,8.6,80,51,41,3,2,86.45,Excellent
331,69,9.6,80,53,52,6,4,88.35,Excellent
332,57,2.4,64,60,84,5,2,60.45,Average
333,56,6.6,97,82,93,9,3,95.45,Excellent
334,52,5.3,94,86,54,1,2,71.9,Good
335,66,4.1,89,89,59,7,3,74.85,Good
336,82,4.2,49,67,68,9,4,69.15,Average
337,97,4.7,60,96,98,8,4,85.85,Excellent
338,61,7.3,75,57,81,4,0,90.5,Excellent
339,100,6.4,51,49,68,9,3,82.55,Good
340,71,5.1,66,61,42,3,3,62.15,Average
341,71,1.7,79,98,58,5,1,66.7,Average
342,95,1.7,41,85,42,7,1,61.8,Average
343,79,1.0,93,87,93,10,1,78.8,Good
344,87,9.7,52,85,53,2,2,93.95,Excellent
345,87,1.0,92,81,79,9,1,74.35,Good
346,94,1.9,71,38,98,10,3,67.45,Average
347,100,3.8,70,41,94,10,2,80.5,Good
348,57,8.3,55,69,43,0,4,68.7,Average
349,76,9.7,71,82,98,3,0,100.0,Excellent
350,76,8.1,71,79,99,3,1,99.65,Excellent
351,83,7.2,99,53,91,0,4,80.1,Good
352,70,5.7,73,97,50,8,3,82.35,Good
353,79,1.8,50,72,97,2,0,65.15,Average
354,82,9.6,49,93,70,4,4,94.25,Excellent
355,77,7.8,54,47,82,5,0,91.95,Excellent
356,96,6.8,56,81,71,7,1,94.7,Excellent
357,82,7.8,79,95,66,5,3,93.85,Excellent
358,54,7.5,57,65,69,2,0,83.95,Good
359,97,6.7,94,56,82,5,4,85.25,Excellent
360,68,9.8,48,77,41,0,1,87.0,Excellent
361,53,9.1,64,88,88,3,1,99.75,Excellent
362,84,6.8,79,44,48,5,4,72.35,Good
363,98,7.2,98,76,67,6,4,91.0,Excellent
364,66,1.5,53,98,70,10,0,73.95,Good
365,93,7.0,99,55,99,10,2,100.0,Excellent
366,77,1.4,97,100,73,9,1,78.2,Good
367,79,6.3,64,75,100,2,0,90.95,Excellent
368,78,10.0,89,58,95,8,4,100.0,Excellent
369,95,6.0,61,69,54,6,0,87.0,Excellent
370,55,5.3,91,90,87,0,4,71.8,Good
371,84,3.8,69,64,64,1,3,60.05,Average
372,90,2.1,59,91,75,0,4,54.05,Average
373,86,7.6,60,81,47,10,4,88.5,Excellent
374,73,2.7,83,69,48,8,4,60.3,Average
375,78,2.0,71,53,97,8,2,68.35,Average
376,98,4.8,90,42,97,6,4,77.0,Good
377,95,8.2,85,60,76,9,1,100.0,Excellent
378,80,7.7,88,64,87,2,1,93.9,Excellent
379,84,1.5,95,41,84,4,0,65.35,Average
380,82,5.1,60,99,78,3,2,80.7,Good
381,70,5.7,74,70,71,6,0,87.3,Excellent
382,81,6.8,97,59,97,8,1,100.0,Excellent
383,72,6.9,71,71,91,1,1,86.85,Excellent
384,82,4.3,69,35,56,7,3,63.85,Average
385,52,6.0,94,49,74,8,4,76.5,Good
386,67,5.3,78,71,76,9,1,88.15,Excellent
387,74,9.0,88,47,58,9,0,100.0,Excellent
388,91,5.8,51,42,83,8,0,87.3,Excellent
389,80,5.0,80,39,68,9,4,71.9,Good
390,52,4.6,86,94,98,6,4,79.1,Good
391,89,6.2,57,35,46,8,3,72.1,Good
392,95,8.2,60,70,67,8,2,97.65,Excellent
393,73,5.8,52,69,48,2,0,74.15,Good
394,99,7.0,60,100,67,3,4,84.75,Good
395,81,7.6,47,97,45,1,0,87.1,Excellent
396,96,5.7,85,57,68,9,4,82.15,Good
397,71,4.8,79,43,97,2,1,74.5,Good
398,72,8.9,85,68,56,10,0,100.0,Excellent
399,51,4.8,46,80,55,10,1,77.55,Good
400,76,5.2,62,38,62,4,0,72.7,Good
401,91,9.9,83,64,70,4,2,100.0,Excellent
402,51,1.0,71,37,42,5,3,37.6,Needs Improvement
403,75,2.7,50,48,60,6,1,59.85,Average
404,66,4.5,61,94,65,6,4,70.35,Good
405,89,9.4,61,79,75,0,2,94.3,Excellent
406,82,1.6,82,68,81,1,0,63.9,Average
407,58,1.1,64,79,76,8,1,63.8,Average
408,92,1.5,61,95,92,9,0,81.35,Good
409,97,1.8,67,50,61,1,0,57.3,Average
410,88,1.3,68,100,81,5,0,73.6,Good
411,78,5.3,52,74,51,10,3,77.0,Good
412,91,6.2,57,51,81,10,3,85.6,Excellent
413,75,3.4,41,68,100,0,4,56.0,Average
414,84,4.6,68,50,52,2,1,66.2,Average
415,99,1.8,60,94,50,1,2,57.15,Average
416,74,4.0,54,100,93,2,2,74.8,Good
417,73,5.7,91,100,55,4,2,84.1,Good
418,62,7.6,66,47,47,10,0,91.0,Excellent
419,56,1.0,89,90,79,9,3,65.05,Average
420,85,5.2,70,65,98,5,1,86.35,Excellent
421,94,3.7,54,68,96,8,0,85.5,Excellent
422,69,8.7,90,73,79,10,3,100.0,Excellent
423,50,7.4,62,42,84,9,3,83.5,Good
424,57,6.3,63,89,98,3,1,88.4,Excellent
425,95,3.5,83,61,41,6,1,70.6,Good
426,65,9.2,52,87,69,5,1,99.25,Excellent
427,63,1.4,61,73,69,1,0,55.5,Average
428,61,2.0,82,99,51,9,4,62.95,Average
429,100,4.5,76,51,49,10,1,80.9,Good
430,72,2.1,100,64,83,10,4,68.7,Average
431,64,9.6,72,87,50,10,0,100.0,Excellent
432,77,8.2,95,47,54,7,4,85.5,Excellent
433,83,3.3,42,55,55,6,2,60.25,Average
434,51,6.3,93,53,56,6,4,71.9,Good
435,81,9.8,58,87,65,7,1,100.0,Excellent
436,72,9.0,62,53,41,10,0,98.9,Excellent
437,71,6.4,68,91,89,0,1,85.85,Excellent
438,100,9.1,69,59,51,0,2,86.85,Excellent
439,74,9.9,78,65,90,7,1,100.0,Excellent
440,71,7.7,83,89,65,3,1,93.9,Excellent
441,71,1.6,86,57,62,4,1,58.35,Average
442,98,4.6,64,66,57,7,3,73.4,Good
443,91,8.5,76,96,71,4,2,100.0,Excellent
444,55,3.1,86,44,88,9,1,73.55,Good
445,64,8.5,47,88,77,3,1,93.65,Excellent
446,92,2.1,81,86,96,5,1,77.35,Good
447,86,1.4,97,54,86,4,0,68.45,Average
448,82,4.5,55,66,42,6,3,64.65,Average
449,57,1.3,47,48,77,9,0,60.6,Average
450,93,9.6,40,84,42,6,3,93.15,Excellent
451,93,8.4,83,62,69,3,1,96.1,Excellent
452,54,8.2,44,87,100,4,2,93.1,Excellent
453,88,6.7,42,58,40,2,4,63.6,Average
454,53,2.9,40,56,69,3,4,45.95,Needs Improvement
455,55,5.7,43,64,84,3,1,74.3,Good
456,94,6.4,79,97,71,2,0,94.55,Excellent
457,81,5.7,74,38,67,9,2,80.25,Good
458,79,3.3,71,93,60,4,3,66.6,Average
459,96,5.6,81,42,97,4,1,85.35,Excellent
460,84,5.4,73,46,85,10,2,85.75,Excellent
461,89,10.0,82,65,52,6,2,100.0,Excellent
462,65,9.1,64,68,66,3,3,87.15,Excellent
463,62,5.2,49,83,75,3,2,72.75,Good
464,99,6.6,60,91,46,8,0,96.25,Excellent
465,91,7.7,85,60,61,5,0,96.6,Excellent
466,79,1.3,78,52,49,3,0,54.75,Average
467,68,9.1,66,72,78,1,2,91.1,Excellent
468,66,8.7,66,84,92,5,0,100.0,Excellent
469,68,5.1,41,42,54,1,3,53.55,Average
470,77,4.5,80,75,54,4,2,71.85,Good
471,75,3.5,87,40,43,5,4,53.9,Average
472,86,5.3,52,78,71,3,2,75.5,Good
473,75,1.4,48,98,62,2,3,51.45,Average
474,72,8.7,91,63,94,6,4,96.35,Excellent
475,58,1.3,75,62,45,1,2,43.35,Needs Improvement
476,61,4.0,61,45,63,10,0,74.9,Good
477,50,9.4,81,99,59,5,1,100.0,Excellent
478,50,7.6,65,53,97,3,1,86.75,Excellent
479,96,3.5,97,43,76,5,0,77.75,Good
480,83,3.3,93,61,59,3,1,68.4,Average
481,81,1.0,51,68,51,3,1,50.1,Average
482,97,7.3,56,78,72,3,0,93.95,Excellent
483,74,1.4,53,49,67,8,0,61.25,Average
484,89,5.8,53,85,47,6,2,79.7,Good
485,94,9.7,96,47,40,2,2,91.4,Excellent
486,50,2.0,73,83,76,2,0,63.25,Average
487,65,9.1,92,90,61,5,3,97.75,Excellent
488,88,9.9,96,85,45,5,1,100.0,Excellent
489,54,1.6,59,71,100,3,2,57.65,Average
490,71,8.9,50,51,60,8,1,93.85,Excellent
491,78,5.6,55,92,71,3,4,73.05,Good
492,52,9.2,90,63,74,8,0,100.0,Excellent
493,61,6.1,70,67,54,3,3,69.85,Average
494,75,7.0,94,94,44,1,4,77.45,Good
495,65,5.9,45,89,99,1,4,73.1,Good
496,100,8.8,95,44,95,4,4,95.05,Excellent
497,86,7.6,58,81,85,3,0,97.3,Excellent
498,71,5.7,76,57,89,6,2,82.75,Good
499,78,8.8,97,55,87,10,0,100.0,Excellent
500,63,3.2,43,47,45,4,2,50.3,Average
501,77,2.4,86,67,64,5,4,58.15,Average
502,54,2.4,100,58,95,9,4,67.2,Average
503,96,4.0,43,45,85,3,3,62.35,Average
504,98,3.1,59,51,98,1,2,64.35,Average
505,79,9.4,49,81,95,9,4,100.0,Excellent
506,95,2.0,63,59,79,8,1,70.3,Good
507,54,7.3,93,55,68,9,3,87.65,Excellent
508,61,2.7,74,46,46,6,0,61.15,Average
509,65,8.9,65,71,79,3,3,89.5,Excellent
510,75,9.7,76,76,52,2,1,96.75,Excellent
511,75,5.2,77,51,77,9,2,81.9,Good
512,97,8.9,60,82,57,2,0,98.85,Excellent
513,70,1.0,93,62,41,8,0,62.05,Average
514,88,8.4,79,75,47,4,2,91.45,Excellent
515,85,3.1,78,81,50,2,3,60.15,Average
516,82,9.2,60,52,72,4,4,86.1,Excellent
517,79,1.0,49,47,93,1,3,44.7,Needs Improvement
518,86,6.0,77,47,100,10,1,95.85,Excellent
519,72,7.8,85,65,77,3,4,83.45,Good
520,59,3.3,43,36,87,9,3,60.9,Average
521,54,2.7,99,50,66,1,2,55.15,Average
522,85,1.8,96,43,59,1,1,55.05,Average
523,83,3.9,84,72,51,7,1,76.65,Good
524,80,6.0,59,88,82,0,1,81.85,Good
525,59,2.0,56,90,100,6,4,62.25,Average
526,68,4.4,94,79,70,4,0,82.1,Good
527,81,1.1,46,68,66,10,4,54.35,Average
528,50,8.4,43,43,71,7,3,80.25,Good
529,54,2.2,68,42,100,0,0,57.7,Average
530,94,3.6,53,41,49,10,3,64.05,Average
531,53,1.2,42,70,42,6,0,51.65,Average
532,65,4.9,63,52,84,4,4,64.9,Average
533,73,8.6,76,37,66,3,1,87.45,Excellent
534,65,4.5,55,62,74,6,2,70.7,Good
535,51,2.6,97,78,70,9,1,75.3,Good
